City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cockburn Town,TC,82.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
9,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Hithadhoo,MV,82.35,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Shenjiamen,CN,76.1,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
18,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
23,Hami,CN,82.06,few clouds,42.8,93.45,Laoyutang Resort
27,Hasaki,JP,88.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
32,Kloulklubed,PW,82.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
33,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
47,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
53,Mareeba,AU,87.44,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
56,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
59,Manggar,ID,80.98,light rain,-2.8833,108.2667,Guest Hotel
60,Saint George,US,78.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
61,Hobyo,SO,81.59,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
62,Butaritari,KI,82.44,clear sky,3.0707,172.7902,Isles Sunset Lodge
68,Cabo San Lucas,MX,84.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
73,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
81,Artyom,AZ,79.54,clear sky,40.4723,50.333,Yusif 10 A
82,Bengkulu,ID,81.61,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
83,Atuona,PF,77.13,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
92,Sao Filipe,CV,77.49,scattered clouds,14.8961,-24.4956,Hotel Xaguate
94,Touros,BR,75.47,few clouds,-5.1989,-35.4608,INN NEW HORIZON
96,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
97,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
108,Fare,PF,77.81,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
109,Bac Lieu,VN,87.37,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
110,Nisia Floresta,BR,77.38,clear sky,-6.0911,-35.2086,Rancho Crepusculo
112,Ambilobe,MG,85.1,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
114,La Trinite,MQ,78.85,broken clouds,14.7376,-60.9629,L'Appartement de la Baie
116,Namwala,ZM,76.59,scattered clouds,-15.7504,26.4384,Corner Point Lodge
119,Mpulungu,ZM,80.55,overcast clouds,-8.7623,31.1141,Chela moche guest house
121,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
124,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Manokwari,ID,82.9,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
130,Bambanglipuro,ID,81.77,overcast clouds,-7.95,110.2833,Puri Brata
138,Singaraja,ID,82.92,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
140,Springfield,US,77.85,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
143,Puerto Narino,CO,77.76,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
150,Bin Qirdan,TN,78.55,broken clouds,33.1378,11.2197,Hôtel Palace
154,Porbandar,IN,82.38,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
161,Batticaloa,LK,85.77,overcast clouds,7.7102,81.6924,Grand Star Guest House
167,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
168,Siocon,PH,87.69,broken clouds,7.7061,122.1353,ABS Hotel
169,Manaure,CO,81.43,broken clouds,11.7751,-72.4445,Hotel Palaaima
170,Kirakira,SB,81.12,light rain,-10.4544,161.9205,SanBiz Lodge
172,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Seri Simanggang Hotel
179,Namatanai,PG,82.81,light rain,-3.6667,152.4333,Seagulls Inn Namatani
190,Guiren,CN,82.99,few clouds,33.6697,118.1889,Suyuan Hotel
193,Dallas,US,84.34,clear sky,32.7668,-96.7836,"Hotel Indigo Dallas Downtown, an IHG Hotel"
197,Cravo Norte,CO,78.58,scattered clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
198,Atambua,ID,86.23,broken clouds,-9.1061,124.8925,Kost Alfa Flat
200,Marana,US,88.14,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
201,Kharan,PK,88.65,clear sky,28.5833,65.4167,Dil Aram Bangla
205,Orotina,CR,76.91,overcast clouds,9.912,-84.5234,Hotel Iguana Verde
206,Male,MV,87.75,broken clouds,4.1748,73.5089,Hotel Octave Maldives
208,Kavaratti,IN,80.69,overcast clouds,10.5669,72.642,Green leaf
211,Yeppoon,AU,82.18,light rain,-23.1333,150.7333,Villa Mar Colina
213,Banda Aceh,ID,86.92,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
214,Wilmington,US,77.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
220,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
223,Huoqiu,CN,87.91,clear sky,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
225,Korla,CN,81.14,scattered clouds,41.7597,86.1469,Gulisitan Hotel
227,Chipinge,ZW,76.55,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
228,Tautira,PF,78.21,few clouds,-17.7333,-149.15,Pension Oaoa
230,Chickasha,US,80.85,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
231,Kaiyuan,CN,82.89,few clouds,23.6977,103.3037,Dongqi Hotel
233,Sibolga,ID,84.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
234,Zhumadian,CN,88.02,scattered clouds,32.9794,114.0294,Ouyue House Hotel
240,Auki,SB,78.57,overcast clouds,-8.7676,160.7034,Auki Motel
242,Kallithea,GR,76.51,few clouds,37.95,23.7,Athens Atrium Hotel
245,Lop Buri,TH,76.01,overcast clouds,14.7981,100.654,ลพบุรีอินน์ รีสอร์ท Lopburi Inn Resort
254,Lorengau,PG,83.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
258,Kawalu,ID,80.55,broken clouds,-7.3817,108.2082,West Jontor
260,Jawhar,SO,84.09,scattered clouds,2.7809,45.5005,Hotel Shabelle
261,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
263,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
264,Tura,IN,87.69,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
265,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
266,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
267,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
273,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
274,Ferry Pass,US,77.65,clear sky,30.5102,-87.2125,Hampton Inn Pensacola-Airport (Cordova Mall Area)
277,Les Cayes,HT,78.67,clear sky,18.2,-73.75,Villa Orphee
280,Homun,MX,78.94,clear sky,20.7333,-89.2833,"Restaurant Y Hotel ""Santa Maria"""
283,Abonnema,NG,75.49,light rain,4.7084,6.7931,Corper's Lodge Obonoma
284,Faanui,PF,78.49,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
