City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sangar,RU,63.9242,127.4739,37.98,66,76,13.13,broken clouds
1,Teya,RU,60.3778,92.6267,45.63,94,100,12.84,light rain
2,Esperance,AU,-33.8667,121.9,58.84,71,23,13.67,moderate rain
3,Cockburn Town,TC,21.4612,-71.1419,82.56,78,51,19.04,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,72.21,79,26,18.99,scattered clouds
5,Avarua,CK,-21.2078,-159.775,73.45,88,75,4.61,broken clouds
6,Sitka,US,57.0531,-135.33,53.49,76,75,6.91,broken clouds
7,Ilinskiy,RU,55.619,38.1182,54.72,76,75,20.13,broken clouds
8,Arman,RU,59.7,150.1667,55.02,48,100,12.17,overcast clouds
9,Kapaa,US,22.0752,-159.319,82.38,82,100,11.5,overcast clouds
10,Hithadhoo,MV,-0.6,73.0833,82.35,73,99,9.01,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,5.75,clear sky
12,Yellowknife,CA,62.456,-114.3525,48.72,87,75,3.44,light rain
13,Arraial Do Cabo,BR,-22.9661,-42.0278,64.33,78,3,1.9,clear sky
14,Snezhnogorsk,RU,69.1933,33.2531,47.98,98,100,10.78,overcast clouds
15,Hobart,AU,-42.8794,147.3294,60.06,50,40,11.5,scattered clouds
16,Shenjiamen,CN,29.9576,122.298,76.1,65,0,24.99,clear sky
17,Chokurdakh,RU,70.6333,147.9167,43.25,47,82,13.49,broken clouds
18,Georgetown,MY,5.4112,100.3354,87.75,66,20,8.05,few clouds
19,Albany,US,42.6001,-73.9662,66.38,94,93,1.66,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,56.46,65,78,4.94,broken clouds
21,Chuy,UY,-33.6971,-53.4616,57.27,92,100,7.43,overcast clouds
22,Toowoomba,AU,-27.55,151.9667,74.25,32,0,1.99,clear sky
23,Hami,CN,42.8,93.45,82.06,9,14,4.88,few clouds
24,Ushuaia,AR,-54.8,-68.3,33.46,75,0,3.44,clear sky
25,Nikolskoye,RU,59.7035,30.7861,51.78,83,99,8.23,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,48.79,64,95,4.61,overcast clouds
27,Hasaki,JP,35.7333,140.8333,88.29,84,83,22.26,broken clouds
28,Kodiak,US,57.79,-152.4072,58.51,77,75,9.22,broken clouds
29,Ancud,CL,-41.8697,-73.8203,42.22,89,68,4.54,broken clouds
30,Bethel,US,41.3712,-73.414,73.76,79,40,3.44,scattered clouds
31,Bluff,NZ,-46.6,168.3333,52.36,81,78,1.36,broken clouds
32,Kloulklubed,PW,7.0419,134.2556,82.0,73,100,4.61,overcast clouds
33,San Patricio,US,28.017,-97.5169,84.09,76,0,7.87,clear sky
34,Mnogovershinnyy,RU,53.9353,139.9242,39.6,93,79,9.89,broken clouds
35,Viedma,AR,-40.8135,-62.9967,48.06,98,100,13.87,moderate rain
36,Yerbogachen,RU,61.2767,108.0108,43.32,95,100,7.87,overcast clouds
