City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.0752,-159.319,85.48,69,20,8.05,US,2022-09-16 22:10:16
1,Albany,42.6001,-73.9662,66.16,66,67,7.61,US,2022-09-16 22:06:40
2,Fairbanks,64.8378,-147.7164,57.6,68,75,5.75,US,2022-09-16 22:10:17
3,Hobart,-42.8794,147.3294,52.05,84,20,4.0,AU,2022-09-16 22:07:47
4,Souillac,-20.5167,57.5167,70.18,83,40,12.66,MU,2022-09-16 22:10:18
5,Larkana,27.5551,68.2141,81.09,69,0,9.48,PK,2022-09-16 22:10:18
6,Yellowknife,62.456,-114.3525,62.56,59,58,8.99,CA,2022-09-16 22:10:19
7,Pacific Grove,36.6177,-121.9166,76.39,77,20,12.66,US,2022-09-16 22:06:00
8,Chuy,-33.6971,-53.4616,57.09,76,0,13.13,UY,2022-09-16 22:10:19
9,Belaya Gora,68.5333,146.4167,35.65,76,86,0.47,RU,2022-09-16 22:10:20
10,Damghan,36.1683,54.348,68.43,40,0,2.71,IR,2022-09-16 22:10:20
11,Kaohsiung,22.6163,120.3133,80.04,84,27,1.01,TW,2022-09-16 22:10:21
12,Cape Town,-33.9258,18.4232,62.38,79,65,1.99,ZA,2022-09-16 22:10:21
13,Sanlucar La Mayor,37.3871,-6.2011,76.5,62,0,1.99,ES,2022-09-16 22:10:21
14,Tiksi,71.6872,128.8694,36.18,98,100,10.18,RU,2022-09-16 22:10:22
15,Nova Olinda Do Norte,-3.8881,-59.0942,91.89,34,100,1.79,BR,2022-09-16 22:10:22
16,Port Moresby,-9.4431,147.1797,79.47,80,79,2.24,PG,2022-09-16 22:10:23
17,Khatanga,71.9667,102.5,29.53,94,96,15.95,RU,2022-09-16 22:10:23
18,Voloshka,61.3314,40.0858,50.4,95,100,9.95,RU,2022-09-16 22:10:24
19,Shingu,33.7333,135.9833,78.31,94,100,16.69,JP,2022-09-16 22:10:24
20,Praia Da Vitoria,38.7333,-27.0667,72.75,89,67,8.41,PT,2022-09-16 22:10:25
21,Olafsvik,64.8945,-23.7142,48.13,80,100,2.01,IS,2022-09-16 22:10:25
22,Barrow,71.2906,-156.7887,33.82,93,100,25.32,US,2022-09-16 22:10:26
23,Esperance,-33.8667,121.9,51.53,88,75,11.61,AU,2022-09-16 22:08:39
24,Torbay,47.6666,-52.7314,58.57,85,100,18.41,CA,2022-09-16 22:10:26
25,Rawson,-43.3002,-65.1023,45.93,77,100,17.58,AR,2022-09-16 22:10:27
26,Tasiilaq,65.6145,-37.6368,41.16,90,100,13.06,GL,2022-09-16 22:10:27
27,Bluff,-46.6,168.3333,46.8,69,76,10.89,NZ,2022-09-16 22:10:27
28,Mataura,-46.1927,168.8643,46.47,59,17,3.49,NZ,2022-09-16 22:10:28
29,Westport,41.1415,-73.3579,75.02,50,0,8.05,US,2022-09-16 22:06:21
30,Narsaq,60.9167,-46.05,57.42,77,100,10.89,GL,2022-09-16 22:10:29
31,Foso,5.7012,-1.2866,70.86,97,76,3.31,GH,2022-09-16 22:10:29
32,Xapuri,-10.6517,-68.5044,86.92,39,11,1.79,BR,2022-09-16 22:10:29
33,Ilebo,-4.3167,20.5833,73.22,86,35,2.77,CD,2022-09-16 22:10:30
34,Mar Del Plata,-38.0023,-57.5575,60.1,91,0,15.99,AR,2022-09-16 22:10:30
35,Khonsa,27.0167,95.5667,66.27,98,57,3.76,IN,2022-09-16 22:10:31
36,Coihaique,-45.5752,-72.0662,43.41,94,15,4.07,CL,2022-09-16 22:10:31
37,Sison,16.1739,120.5153,74.07,92,100,2.06,PH,2022-09-16 22:10:32
38,Merauke,-8.4667,140.3333,79.47,82,100,9.55,ID,2022-09-16 22:10:32
39,Muisne,0.6,-80.0333,74.52,81,100,10.67,EC,2022-09-16 22:10:32
40,Yushu,44.8,126.5333,57.97,97,100,2.91,CN,2022-09-16 22:10:33
41,Tuktoyaktuk,69.4541,-133.0374,39.06,84,98,4.38,CA,2022-09-16 22:10:33
42,Iqaluit,63.7506,-68.5145,43.7,75,100,3.0,CA,2022-09-16 22:10:34
43,Bethel,41.3712,-73.414,72.52,55,0,4.61,US,2022-09-16 22:10:34
44,Saldanha,-33.0117,17.9442,57.36,88,58,7.05,ZA,2022-09-16 22:10:35
45,Busselton,-33.65,115.3333,56.5,84,100,5.61,AU,2022-09-16 22:11:35
46,Kaitangata,-46.2817,169.8464,48.43,65,21,8.32,NZ,2022-09-16 22:11:35
47,Sitka,57.0531,-135.33,58.8,61,99,0.89,US,2022-09-16 22:09:09
48,Daliao,5.8611,124.9533,80.37,77,100,2.39,PH,2022-09-16 22:11:36
49,Carnarvon,-24.8667,113.6333,63.97,51,0,12.77,AU,2022-09-16 22:11:36
50,Ribeira Grande,38.5167,-28.7,73.6,84,74,10.92,PT,2022-09-16 22:11:37
51,Bogorodskoye,56.55,37.8833,47.3,93,52,7.99,RU,2022-09-16 22:11:37
52,Hilo,19.7297,-155.09,93.27,71,0,12.66,US,2022-09-16 22:10:51
53,Arinos,-15.9169,-46.1056,86.68,20,14,3.36,BR,2022-09-16 22:11:38
54,Saint-Philippe,-21.3585,55.7679,65.79,86,66,14.83,RE,2022-09-16 22:11:38
55,Tucuman,-26.8241,-65.2226,80.6,19,19,6.91,AR,2022-09-16 22:08:12
56,Avera,33.194,-82.5271,82.45,47,0,6.6,US,2022-09-16 22:11:39
57,Kinkala,-4.3614,14.7644,72.93,73,37,4.09,CG,2022-09-16 22:11:39
58,Nhulunbuy,-12.2333,136.7667,72.21,94,28,1.14,AU,2022-09-16 22:11:40
59,Rikitea,-23.1203,-134.9692,72.43,67,0,12.62,PF,2022-09-16 22:11:40
60,Vaini,-21.2,-175.2,84.36,74,75,6.91,TO,2022-09-16 22:11:41
61,Katsuura,35.1333,140.3,79.21,70,100,8.08,JP,2022-09-16 22:11:41
62,Vardo,70.3705,31.1107,46.38,93,100,24.16,NO,2022-09-16 22:11:41
63,Kutum,14.2,24.6667,69.82,70,100,13.42,SD,2022-09-16 22:11:42
64,Ilulissat,69.2167,-51.1,39.22,87,40,11.5,GL,2022-09-16 22:11:42
65,Ushuaia,-54.8,-68.3,42.46,52,75,12.66,AR,2022-09-16 22:11:29
66,Punta Arenas,-53.15,-70.9167,41.11,65,75,23.02,CL,2022-09-16 22:11:43
67,Lebu,-37.6167,-73.65,44.58,93,100,14.36,CL,2022-09-16 22:11:43
68,Iisalmi,63.5592,27.1907,43.84,97,79,4.45,FI,2022-09-16 22:11:44
69,Nikolskoye,59.7035,30.7861,48.09,87,99,6.31,RU,2022-09-16 22:11:44
70,Spasskoye,44.6108,132.7969,57.04,95,100,6.6,RU,2022-09-16 22:11:45
71,Simpang,-1.2667,104.0833,72.97,97,99,2.71,ID,2022-09-16 22:11:45
72,Vostok,46.4856,135.8833,51.58,97,100,4.0,RU,2022-09-16 22:11:45
73,Hermanus,-34.4187,19.2345,55.8,84,78,8.68,ZA,2022-09-16 22:11:46
74,Necochea,-38.5473,-58.7368,63.21,51,100,13.2,AR,2022-09-16 22:11:46
75,Maragogi,-9.0122,-35.2225,74.62,69,82,7.96,BR,2022-09-16 22:11:47
76,Cidreira,-30.1811,-50.2056,60.91,77,1,14.47,BR,2022-09-16 22:11:47
77,Natal,-5.795,-35.2094,75.85,83,20,3.44,BR,2022-09-16 22:10:21
78,Pisco,-13.7,-76.2167,62.65,72,0,14.97,PE,2022-09-16 22:11:48
79,Tyrma,50.0833,132.1667,51.42,96,94,2.64,RU,2022-09-16 22:11:48
80,Williams Lake,52.1415,-122.1445,50.05,82,99,1.01,CA,2022-09-16 22:11:48
81,East London,-33.0153,27.9116,66.88,80,52,18.88,ZA,2022-09-16 22:09:29
82,Srednekolymsk,67.45,153.6833,36.34,72,100,5.37,RU,2022-09-16 22:11:49
83,Avarua,-21.2078,-159.775,78.85,69,40,18.41,CK,2022-09-16 22:09:03
84,Manoel Urbano,-8.8389,-69.2597,86.4,42,90,2.66,BR,2022-09-16 22:11:50
85,Nan,18.8333,100.6667,71.2,99,100,0.54,TH,2022-09-16 22:11:50
86,Morondava,-20.2833,44.2833,71.85,90,1,10.18,MG,2022-09-16 22:11:51
87,Bredasdorp,-34.5322,20.0403,53.26,94,31,5.21,ZA,2022-09-16 22:11:51
88,Reconquista,-29.15,-59.65,68.41,44,44,9.84,AR,2022-09-16 22:11:51
